School_ID,Destination_School_ID,distance
609993,610148,1924.7910
610148,609993,1924.7910
400081,610075,1924.8783
610075,400081,1924.8783
400029,610263,1925.8513
610263,400029,1925.8513
609926,610250,1930.1653
609926,610251,1930.1653
610250,609926,1930.1653
610251,609926,1930.1653
610203,610226,1933.1817
610226,610203,1933.1817
609989,610252,1938.3362
610252,609989,1938.3362
400101,609876,1940.3248
609876,400101,1940.3248
610252,610405,1947.4588
610405,610252,1947.4588
610298,610300,1951.8726
610300,610298,1951.8726
610221,610293,1954.7292
610293,610221,1954.7292
609850,610363,1959.4311
610363,609850,1959.4311
609864,610003,1965.7371
610003,609864,1965.7371
610022,610284,1973.7299
610284,610022,1973.7299
609945,610269,1973.8608
610269,609945,1973.8608
609781,610114,1977.0636
610114,609781,1977.0636
609781,610277,1979.0169
610277,609781,1979.0169
609983,610148,1987.7559
610148,609983,1987.7559
610316,610350,1990.0335
610350,610316,1990.0335
609907,609954,1993.9625
609954,609907,1993.9625
610012,610251,1994.4441
610012,610250,1994.4441
610250,610012,1994.4441
610251,610012,1994.4441
610141,610189,2006.8428
610189,610141,2006.8428
610223,610290,2009.3916
610290,610223,2009.3916
609977,610213,2010.3652
610213,609977,2010.3652
609774,610038,2011.1508
610038,609774,2011.1508
610019,610290,2012.2127
610290,610019,2012.2127
610223,610299,2015.3215
610299,610223,2015.3215
400068,610305,2019.2977
610305,400068,2019.2977
609985,610293,2026.1352
610293,609985,2026.1352
609913,610347,2026.8538
610347,609913,2026.8538
609929,610239,2029.4410
610239,609929,2029.4410
610108,610347,2030.9456
610347,610108,2030.9456
609916,610116,2041.4676
610116,610530,2041.4676
610116,609916,2041.4676
610530,610116,2041.4676
400146,610282,2042.3670
610282,400146,2042.3670
610243,610271,2043.6885
610271,610243,2043.6885
400081,610329,2047.5727
610329,400081,2047.5727
610210,610313,2047.8407
610313,610210,2047.8407
610313,610320,2047.8407
610320,610313,2047.8407
609828,609896,2052.6273
609896,609828,2052.6273
400017,610209,2063.6437
610209,400017,2063.6437
400121,610043,2067.3405
610043,400121,2067.3405
400030,609818,2070.7992
609818,400030,2070.7992
609885,609997,2071.0059
609997,609885,2071.0059
609904,609906,2071.2939
609906,609904,2071.2939
610051,610533,2072.6045
610533,610051,2072.6045
400068,610367,2076.5716
610367,400068,2076.5716
400095,609797,2078.3029
609797,400095,2078.3029
610145,610248,2080.0723
610145,610249,2080.0723
610248,610145,2080.0723
610249,610145,2080.0723
610092,610282,2080.5334
610282,610092,2080.5334
609888,610243,2082.2500
610243,609888,2082.2500
400020,610034,2084.8390
610034,400020,2084.8390
609853,610076,2099.5622
610076,609853,2099.5622
609826,610273,2101.9457
610273,609826,2101.9457
609902,610091,2106.6429
610091,609902,2106.6429
609782,609799,2106.7921
609799,609782,2106.7921
609979,610217,2109.2920
610217,609979,2109.2920
400116,610521,2113.9873
610521,400116,2113.9873
400023,609786,2114.5483
609786,400023,2114.5483
609797,610055,2115.2952
610055,609797,2115.2952
609791,610290,2116.8240
610290,609791,2116.8240
609855,610559,2118.5637
610559,609855,2118.5637
610090,610175,2118.9132
610175,610090,2118.9132
610159,610541,2121.5067
610541,610159,2121.5067
609919,610213,2122.4684
610213,609919,2122.4684
400089,610559,2122.6762
610559,400089,2122.6762
